"3682632","Envigado","-75.58333","6.16667"
"4302172","4","315000000","66","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR LA CUENCA."
"4302559","5","455000000","95","Antioquia - Envigado - Loma Del Escobero"
"4233541","5","605000000","97","Antioquia - Envigado - Cumbres"
"4240384","4","385000000","81","Apartamento en Venta. Envigado, Las Antillas. "
"4303259","5","710000000","174","Antioquia - Envigado - La Abadia"
"4303763","6","3600000000","2000","Vendo Casa Loma del Escobero Envigado"
"4304698","5","770000000","138","Antioquia - Envigado - Loma De Las Brujas"
"4305481","5","570000000","113","Apartamento Venta Envigado Loma Escobero 113 m2"
"4306641","5","680000000","127","Antioquia - Envigado - Loma De Las Brujas""3682632","Envigado","-75.58333","6.16667"
"4276335","3","380000000","76","Antioquia - Envigado - Señorial"
"4276492","5","710000000","126","Antioquia - Envigado - Cumbres"
"4233541","5","605000000","97","Antioquia - Envigado - Cumbres"
"4240384","4","385000000","81","Apartamento en Venta. Envigado, Las Antillas. "
"4287394","5","520000000","130","apartamento en venta Envigado Esmeralda "
"4287426","4","400000000","83","Apartamento para la venta en Envigado Sector Señorial"
"4288080","3","1350000000","350","Finca en Venta en Envigado - El Salado"
"4288157","3","236000000","69","VENDO APARTAMENTO EN MARINILLA, SECTOR LA DALIA"
"4288580","4","280000000","65","Antioquia - Envigado - Envigado, Las Antillas"
"4288947","3","260000000","62","Apartamento en Venta en Envigado - Las Cometas"
"4289056","5","800000000","147","Antioquia - Envigado - Loma De Las Brujas"
"4289698","5","570000000","95","Apartamento en Venta en Envigado - La Abadia"
"4289794","4","355000000","70","Apartamento en Venta en Envigado - El Dorado"
"4289856","4","840000000","220","Casa en Venta en Envigado - San Marcos"
"4290445","5","850000000","175","Antioquia - Envigado - Sur"
"4290549","4","310000000","67","APARTAMENTO EN VENTA - SECTOR SAN RAFAEL, ENVIGADO COD: 24709"
"4291345","5","1200000000","285","Antioquia - Envigado - La Sebastiana"
"4291360","5","970000000","181","Antioquia - Envigado - La Sebastiana"
"4292132","5","765000000","137","Apartamento en Venta. Envigado, Benedictinos. "
"4292454","5","900000000","76","Casa en Venta en Envigado - Cumbres"
"4292481","5","470000000","79","Venta apartamento en el Esmeraldal - Envigado"
"4292749","2","235000000","67","Apartamento en Venta en Envigado - San Jose"
"4292867","5","340000000","60","Apartamento en Venta en Envigado - Loma Del Escobero"
"4292869","3","330000000","74","Antioquia - Envigado - Manga Azul"
"4292955","4","320000000","93","Apartamento en Venta en Envigado - Mesa"
"4293161","5","2400000000","1623","Antioquia - Envigado - Loma Del Escobero"
"4293344","5","790000000","138","Antioquia - Envigado - Loma Del Chocho"
"4293459","5","560000000","120","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR CUMBRES."
"4293522","6","580000000","75","APARTAESTUDIO EN VENTA - SECTOR ALTO DE LAS PALMAS COD: 24835"
"4293537","5","630000000","100","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR CUMBRES.""3682632","Envigado","-75.58333","6.16667"
"4164002","5","560000000","118","Venta Apartamento en Loma El Escobero, Envigado"
"4166817","4","530000000","110","Apartamento Hecho a  Tus Necesidades"
"4168749","5","1250000000","180","Antioquia - Envigado - Suroriente"
