"3680451","Itagui","-75.63117","6.17874"
"4284089","2","170000000","65","Venta de Apartamento El Rosario Itagüí"
"4284095","2","170000000","65","Venta de Apartamento El Rosario Itagüí"
"3845766","4","780000000","206","PR12613. SE VENDE CASA EN SECTOR YURAMITO - ITAGUI"
"4087357","3","150000000","60","Venta Apartamento Itagui Viviendas del Sur"
"4309533","3","182000000","52","Local en Venta Independencia Itagui Antioquia."
"3751366","4","250000000","65","Apartamento en  la estrella"
"3751383","3","255000000","66","Apartamento en Itagui"
"3751421","2","210000000","63","APARTAMENTO EN ITAGUI"
"3751379","4","385000000","88","Apartamento en Venta en Suramérica"
"1736735","4","4000000","170","LOCAL EN ARRIENDO EN Itagüí "
"4287528","3","250000000","66","SE VENDE CASA EN ITAGUI"
"4291533","3","260000000","80","SE VENDE APARTAMENTO EN ITAGUI"
"4256714","4","325000000","71","Antioquia - Itagui - Itagui"
"4264646","4","358000000","73","VENDO APARTAMENTO EN SURAMERICA"
"4269875","4","720000000","158","SE VENDE CASA EN ITAGUI ANTIOQUIA, SECTOR SURAMERÍCA."
"4270805","3","255000000","66","APARTAMENTO EN VENTA - SECTOR VIVIENDAS DEL SUR, ITAGÜI COD: 24735"
"4270809","3","243000000","61","APARTAMENTO EN VENTA - SECTOR PORVENIR, ITAGÜI COD: 24755"
"4176133","5","1000000000","357","Venta de Casa en La Estrella, Suramerica"
"4241428","3","279000000","61","Apartamento en Itagui Fatima"
"4244261","3","279000000","61","VENTA DE APARTAMENTO EN FÁTIMA, ITAGÜÍ ANTIOQUIA"
"4244268","3","289000000","65","VENTA DE APARTAMENTO EN ITAGÜÍ ANTIOQUIA"
"4246384","4","415000000","82","APARTAMENTO EN VENTA - SECTOR SANTA CATALINA, ITAGÜI COD: 24744"
"4246882","4","800000000","158","Casa en Venta en La Estrella - Suramerica"
"4248294","3","170000000","55","APARTAMENTO EN VENTA - SECTOR SAN GABRIEL, ITAGÜI COD: 24742"3680451","Itagui","-75.63117","6.17874"
"4248294","3","170000000","55","APARTAMENTO EN VENTA - SECTOR SAN GABRIEL, ITAGÜI COD: 24742"
"4256714","4","325000000","71","Antioquia - Itagui - Itagui"
"4264646","4","358000000","73","VENDO APARTAMENTO EN SURAMERICA"
"4161443","3","289000000","65","Antioquia - Itagui - Parque"
"4176133","5","1000000000","357","Venta de Casa en La Estrella, Suramerica"
"3900130","3","270000000","67","Antioquia - Itagui - Induamerica"
"3967065","4","300000000","62","APARTAMENTO EN VENTA EN Itagüí "
"2514093","4","195000000","60","MARAVILLOSO APARTAMENTO VENTA ITAGÜI COD: 18072"
"2521718","4","210000000","59","IDEAL APARTAMENTO VENTA - SECTOR ITAGÜI COD: 18008"
"3944164","3","155000000","86","ACOGEDOR APARTAMENTO EN VENTA - SECTOR VILLA CENTRAL, ITAGÜI "
"2555154","3","190000000","60","APARTAMENTO EN VENTA -  ITAGÜI C OD: 18306"
"2569937","2","320000000","120","CASA UNIFAMILIAR EN VENTA -LA ESTRELLA COD: 18344"
"2580581","3","185000000","61","APARTAMENTO EN VENTA - FERRARA, ITAGÜI COD: 18599"
"2588286","3","150000000","57","APARTAMENTO EN VENTA - ITAGÜI COD: 18629"
"2590657","3","185000000","58","APARTAMENTO EN VENTA -ALICATE, ITAGÜI COD: 18687"
"2611458","3","155000000","98","CASA BIFAMILIAR EN VENTA -  ITAGÜI COD: 18826"
"2621150","4","272950000","69","APARTAMENTO EN VENTA -  ITAGÜI COD: 18849"
"2635340","4","287000000","71","APARTAMENTO EN VENTA - ITAGÜI COD: 19059"
"2638518","3","250000000","116","APARTAMENTO EN VENTA - SIMON BOLIVAR COD: 19070"
"2639504","3","195000000","56","APARTAMENTO EN VENTA - ITAGÜI COD: 19121"
"2659623","3","150000000","66","APARTAMENTO EN VENTA -  ITAGÜI COD: 19230"
"2670938","4","270000000","73","APARTAMENTO EN VENTA -  ITAGÜI COD: 19419"
"2670970","4","270000000","73"," APARTAMENTO EN VENTA - ITAGÜI COD: 19420"
"2672292","3","206000000","60","APARTAMENTO EN VENTA - ITAGÜI COD: 19434"
"2672409","3","165000000","65","APARTAMENTO EN VENTA  ITAGÜI COD: 19447"
"2672453","3","165000000","65","APARTAMENTO EN VENTA -  ITAGÜI COD: 19450"
"2678972","3","280000000","135","CASA BIFAMILIAR EN VENTA - ITAGÜI COD: 19487"
"2679001","3","200000000","58","APARTAMENTO EN VENTA - ITAGÜI COD: 19490"
"2130194","4","385000000","88","MARAVILLOSO APARTAMENTO VENTA ITAGÜI COD: 16589"
"2188862","3","305000000","84","MAGNIFICO APARTAMENTO VENTA DITAIRES ITAGÜI 17075"3680451","Itagui","-75.63117","6.17874"
"4240785","3","259600000","58","VENTA DE PROYECTO EN RESERVAS, ITAGÜÍ ANTIOQUIA"
"4240810","4","253500000","54","VENTA DE PROYECTO EN DITAIRES, ITAGÜÍ ANTIOQUIA"
"4240905","4","262500000","58","VENTA DE PROYECTO EN DITAIRES, ITAGÜÍ ANTIOQUIA"
"4164337","4","295000000","63","apartamento en venta La Estrella Suramérica"
"3987620","3","300000000","82","VENDO APARTAMENTO EN ITAGUI, SECTOR VIVIENDAS DEL SUR"
"3944163","4","175000000","72","CASA BIFAMILIAR EN VENTA - SECTOR DITAIRES, ITAGÜI "
"3944415","3","1950000","56","APARTAMENTO AMOBLADO EN ARRENDAMIENTO "
"3944461","5","1250000000","310","CASA UNIFAMILIAR EN VENTA -  ITAGÜI COD: 19591"
"3944464","3","220000000","72"," APARTAMENTO EN VENTA - ITAGÜI COD: 19565"
"2544766","4","1950000","60","APARTAMENTO AMOBLADO  - ITAGÜI COD: 18379"
"2547743","3","175000000","70","APARTAMENTO EN VENTA , ITAGÜI COD: 18171"
"2552002","3","185400000","55","APARTAMENTO EN VENTA - ITAGÜI COD: 18210"
"2558119","3","236900000","70","CASA BIFAMILIAR EN VENTA - ITAGÜI COD: 18330"
"2573119","3","160000000","60","APARTAMENTO EN VENTA -SAN ANT DE PRADO COD. 18393"
"2575644","5","360000000","88"," APARTAMENTO EN VENTA -ITAGÜI COD: 18443"
"2579639","3","170000000","56","APARTAMENTO EN VENTA -  ITAGÜI COD. 18469"
"2580600","3","180000000","61","APARTAMENTO EN VENTA - FERRARA, ITAGÜI COD: 18600"
"2609119","5","650000000","150","CASA UNIFAMILIAR EN VENTA - ITAGÜI COD: 18797"
"2611553","3","270000000","69","APARTAMENTO EN VENTA - ITAGÜI COD: 18830"
"2652184","4","319300000","77","APARTAMENTO EN VENTA - ITAGÜI COD: 19189"
"2664368","3","200000000","91","APARTAMENTO EN VENTA -ITAGÜI COD: 19296"
"3901849","3","275000000","65","VENTA DE APARTAMENTO EN ITAGÜÍ PARQUE"
"2672406","3","165000000","65","APARTAMENTO EN VENTA -  ITAGÜI COD: 19446"
"2672419","3","165000000","65","APARTAMENTO EN VENTA - ITAGÜI COD: 19448"
"2672441","3","165000000","65","APARTAMENTO EN VENTA -  ITAGÜI COD: 19449"
"2672467","3","195000000","90","APARTAMENTO EN VENTA - ITAGÚI COD: 19452"
"3923599","4","350000000","84","Apartamento en venta en Suramerica Itagui"
"2514093","4","195000000","60","MARAVILLOSO APARTAMENTO VENTA ITAGÜI COD: 18072"
"2521718","4","210000000","59","IDEAL APARTAMENTO VENTA - SECTOR ITAGÜI COD: 18008"
"2555154","3","190000000","60","APARTAMENTO EN VENTA -  ITAGÜI C OD: 18306"
