"9172235","Sabaneta","-75.62738","6.1289"
"4292133","3","265000000","74","Apartamento en Venta. Sabaneta, Los Arias."
"4293392","2","180000000","62","Casa en venta Sabaneta barrio Restrepo Naranjo"
"4278469","4","398000000","79","SE VENDE APARTAMENTO EN SABANETA  ANTIOQUIA, SECTOR CAÑAVERALEJO."
"4279520","3","270000000","87","Venta de apartamento en Sabaneta Antioquia"
"4309082","4","375000000","76","Apartamento en Venta. Sabaneta, La Florida."
"4310384","4","295000000","62","Se vende apartamento en Sabaneta Antioquia""9172235","Sabaneta","-75.62738","6.1289"
"4304481","4","475000000","103","SE VENDE APARTAMENTO EN SABANETA  ANTIOQUIA LOMA DE SAN JOSE"
"4307329","2","215000000","74","Apartamento en Venta. Sabaneta, La Florida."
"4310271","4","480000000","100","APARTAMENTO DUPLEX EN VENTA - SECTOR BETANIA, SABANETA COD: 24928"
"4310356","2","228000000","88","APARTAMENTO EN VENTA - SECTOR CALLE LARGA, SABANETA COD: 25012"
"4311825","4","525000000","146","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR LOMA SAN JOSE."
"4285405","4","320000000","73","VENTA DE APARTAMENTO EN SABANETA SECTOR CALLE LARGA"
"1736688","4","400000000","106","APARTAMENTO EN VENTA EN Sabaneta "
"1737151","4","350000000","None","APARTAMENTO EN VENTA EN Sabaneta "
"4292543","4","275000000","48","APARTAESTUDIO EN VENTA EN Sabaneta "
"4287692","4","430000000","85","APARTAMENTO EN VENTA EN Sabaneta "
"4287699","4","360000000","77","APARTAMENTO EN VENTA EN Sabaneta "
"4287708","4","298000000","60","APARTAMENTO EN VENTA EN Sabaneta "
"4310099","4","463000000","77","APARTAMENTO EN VENTA EN Sabaneta "
"3713609","4","350000000","88","Antioquia - Sabaneta - Restrepo Naranjo"
"3656346","4","285000000","77","Antioquia - Sabaneta - Restrepo Naranjo"
"4272093","4","620000000","116","Apartamento  en venta Las Lomitas Sabaneta, bonito, moderno y amplio"
"4284570","4","360000000","78","Apartamento en Sabaneta "
"4284660","5","364450000","73","Antioquia - Sabaneta"
"4290564","4","395000000","86","Antioquia - Sabaneta - Las Lomitas"
"4296264","4","450000000","93","Apartamento en Venta Aves Marías Sabaneta Antioquia."
"4298037","4","309000000","64","Venta Apartamento en Sabaneta, Antioquia"
"4302672","4","450000000","110","Antioquia - Sabaneta"
"4209797","4","366000000","80","Apartamento en Venta Asdesillas Sabaneta Antioquia."
"4035814","4","410000000","166","Antioquia - Sabaneta - Sabaneta"
"4193731","5","353000000","68","Venta Comodo  Apartamento en Zona alta del sur"
"4146728","4","395000000","85","Antioquia - Sabaneta - Sabaneta / Euro"
"4157333","4","398000000","79","Venta Apartamento Sabaneta, Mayorca 79 m2"
"3970337","4","280000000","57","Venta Apartamento Cañaveralejo Sabaneta"
"1737196","4","312000000","None","APARTAMENTO EN VENTA EN Sabaneta "
"4059234","4","2700000","130","SE ARRIENDA CASA EN ENVIGADO, ANDALUCIA"
