"2029758","3","1200000000","6950","FINCA EN GUARNE PARCELACION 6950 MTS 1200 MILL","Guarne"
"2029769","3","1100000000","1100","CASA FINCA VARIANTE AEROPUERTO 1.100 MILLONES","Guarne"
"2033928","5","1350000000","36300","Venta de Finca en Guarne vereda Toldas","Guarne"
"2051413","3","600000000","6200","FINCA EN GUARNE 6 MIL METROS 600  MILLONES","Guarne"
"2070565","3","149445356","57"," Apartamentos nuevos en Guarne, proyecto","Guarne"
"2098508","3","1100000000","4500","En venta finca en Guarne Antioquia","Guarne"
"1773968","3","750000000","3500","SE VENDE CASA FINCA EN GUARNE","Guarne"
"1850981","3","450000000","2550","VENDO CASA CAMPESTRE ALTO DE LA VIRGEN GUARNE","Guarne"
"1866471","3","1700000000","45000","FINCA EN GUARNE 45 MIL MTS 1700 MILLONES","Guarne"
"1909141","3","1000000000","12500","Finca en guarne 12.500 metros 1000 millones","Guarne"
"1909529","3","450000000","4600","FINCA EN GUARNE 4 MIL METROS 450 MILLONES ","Guarne"
"2625686","2","350000000","3211","Se vende Finca en Guarne","Guarne"
"3433407","5","198000000","117","Hermoso Apartamento En Guarne. 117m2","Guarne"
"3434901","5","550000000","170","Espectacular Finca En Guarne. 170m2","Guarne"
"1627254","3","850000000","32000","se vende finca en guarne","Guarne"
"1637853","3","290000000","4040","Finca en venta Guarne-Vereda Chaparral","Guarne"
"2004329","3","450000000","4000","CASA FINCA GUARNE 4 MIL MTS 450 MILLONES","Guarne"
"2004335","3","350000000","3221","CASA FINCA GUARNE CERCA ALTO VIRGEN 350 MILL","Guarne"
"3433159","4","450000000","3900","Hermosa Casa En Guarne. 3,900m2","Guarne"
"1638505","3","650000000","800","Casa de campo en venta Guarne ","Guarne"
"1652565","3","520000000","304"," Casa en Guarne con zona verde ","Guarne"
"4240334","2","450000000","3550","Lote en Guarne","Guarne"
"4363266","0","1300000000","30000","Venta de Finca en Guarne","Guarne"
"1862995","2","12320000000","56000","LOTE EN VENTA EN Guarne ","Guarne"
"4343927","0","2147483647","1610","BODEGAS EN VENTA GUARNE BODEGAS Y PROYECTOS LOCALES Y OFICINAS","Guarne"
"2338313","3","330000000","3211","ven cambio finca en guarne","Guarne"
"2371248","3","180000000","16000","FINCA 16 MIL MTS ALTO DE LA VIRGEN COPACABANA  180","Guarne"
"2029761","3","280000000","1000","CASA FINCA EN GUARNE 280 MILL MIL METROS","Guarne"
"2453422","3","360000000","4000","LOTE CON CABAA 4 MIL MTS 360 millones","Guarne"
"2605161","3","600000000","5000","se vende finca en guarne","Guarne"
"1610939","3","1300000000","4480","se vende hermosa finca cerca del aeropuerto","Guarne"
"2029192","3","650000000","7000","FINCA EN GUARNE 7 MIL MTS 650 MILLONES","Guarne"
"2029657","3","160000000","500","CASA FINCA EN GUARNE 500 METROS 160 MILLONES","Guarne"
"2029705","3","450000000","4000","FINCA EN GUARNE 4 MIL METROS 450 MILLONES","Guarne"
