"3675265","Marinilla","-75.3","6.2"
"2029771","3","360000000","13054","FINCA EN MARINILLA VIA PEOL 13 MIL MTS 360 MILL"
"2029804","3","270000000","5000","FINCA EN MARINILLA 5 MIL MTS 270 MILL PRO INDIVISO"
"2030394","3","550000000","8200","FINCA EN MARINILLA 8 MIL MTS 550 MILL"
"2037434","3","550000000","1300","finca multifamiliar en marinilla "
"2069313","3","480000000","2160","CASA FINCA EN MARINILLA 2160 MTS 480 MILLONES"
"2195017","4","480000000","2000","FINCA MARINILLA 480 MILLONES RECIBO PROPIEDAD"
"2370568","3","390000000","2500","FINCA EN MARINILLA 2500 MTS 390 MILLONES"
"1851002","3","1730000000","21619","FINCA EN MARINILLA 21,619 METROS 80 MIL METRO"
"1940375","3","1729000000","21169","vendo Finca con galpones en Marinilla"
"2095413","2","225000000","9623","FINCA EN MARINILLA 9600 MTS 225 MILLONES"
"3751275","3","300000000","6550","Venta Lote En Vereda El Socorro, Marinilla"
"3941205","3","53913825343","4400","Hermosa Finca Independiente - Marinilla. 4,400m2"
"4346050","None","1735000064","18257","lote industrial en venta Autopista Medellín-Bog"
"3643270","None","700000000","6500","VENDO HERMOSA FINCA EN MARINILLA"
"4276625","None","1350000","None","marinilla-antioquia"
"2131594","3","1000000000","22000","FINCA EN MARINILLA 22 MIL METROS MIL MILLONES"
"2131595","3","300000000","7000","FINCA EN MARINILLA 7 MIL METROS 300 MILLONES"
"2370566","3","360000000","4000","FINCA EN MARINILLA 4 MIL MTS 360 MILLONES"
"2370570","3","300000000","4000","FINCA EN MARINILLA LA ESMERALDA 300 MILLONES"
"1960838","3","450000000","5700","CASA FINCA SENCILLA MARINILLA 5700 MTS 450 MILL"
"2004260","3","250000000","4000","FINCA CAMPESINA MARINILLA 250 MILLONES"
"2004305","3","300000000","3300","CASA FINCA EN MARINILLA 3300 MTS 300 MILLONES"
"2029193","3","250000000","12800","FINCA EN MARINILLA 12.800 MTS 250 MILLONES"
"2029805","3","260000000","500","CASA FINCA MARINILLA PRO INDIVISO 500 mts 260 MILL"
"2034151","3","970000000","121600","Vendo finca en Marinilla vereda el Pozo"
"2448210","3","450000000","6000","FINCA EN MARINILLA a SANTUARIO 6 MIL MTS 450 MILL"
"2468387","3","360000000","900","CASA CAMPESTRE MARINILLA 900 MTS 360 MILLONES"
"3433477","4","400000000","90","Espectacular Finca En Marinilla. Área Total 6,400m2"
"2380650","3","380000000","3500","FINCA EN MARINILLA 3500 METROS 380 MILLONES"
"1627259","3","450000000","3754","se vende finca en marinilla"
"1895475","3","260000000","3000","FINCA MARINILLA 3 MIL METROS 260 MILLONES"
"2002209","3","230000000","3200","FINCA EN MARINILLA OBRA NEGRA 230 MILL 6 MIL MTS"
"2006019","3","195000000","6200","FINCA EN MARINILLA 6200 MTS 195 MILLONES"
"2006801","2","150000000","2600","CASA FINCA EN MARINILLA 2600 MTS 150 MILLONES"
"2029661","3","180000000","3500","FINCA EN MARINILLA 3500 MTS 180 MILLONES"
"2036555","3","1600000000","101120","Venta de Finca en Marinilla  Parcelable"
"3433215","5","300000000","40000","Espectacular Lote Independiente En Marinilla. 40,000m2."
"4345768","None","500000000","14000","lote en venta Marinilla Antioquia sJ CH"
"4354014","None","295000000","3500","lote en venta Merinilla Antioquia ECH2"
"4395459","None","215000000","2600","Venta de lote en Marinilla, Antioquia"
